Player,Nation,Pos,Squad,Age,MP,Min,Gls,Ast,Wage,pts
Machop Malual,SSD,DF,Atlanta Utd,23,6,80,0,0,0.655,40
Maciel,BRA,MF,New England,22,16,684,0,1,0.69902,42
Maikel Chang,CUB,MF,Real Salt Lake,30,33,1835,2,4,0.98261,47
Malte Amundsen,DEN,DF,NYCFC,23,27,2094,0,1,2.7,55
Marcelino Moreno,ARG,MF,Atlanta Utd,27,30,1767,2,5,4.6,40
Marcelo Silva,URU,DF,Real Salt Lake,32,31,2774,2,0,6,47
Marco Farfan,USA,DF,FC Dallas,23,32,2725,1,3,2.25,53
Marcus Godinho,CAN,DF,Vancouver,24,23,1019,0,0,0.85444,43
Marinos Tzionis,CYP,FW,Sporting KC,20,27,779,1,0,6.125,40
Marky Delgado,USA,MF,LA Galaxy,26,29,2515,2,2,6.5,50
Marlon Hairston,USA,DF,Columbus Crew,27,3,153,0,0,1.75,46
Martín Cáceres,URU,DF,LA Galaxy,34,6,429,0,1,2.4,50
Martín Rodríguez,CHI,FW,D.C. United,27,14,904,0,1,4.56,27
Marvin Loría,CRC,FW,Portland Timbers,24,28,803,2,1,1.25,46
Mason Stajduhar,USA,GK,Orlando City,24,2,180,0,0,0.89716,48
Mason Toye,USA,FW,CF Montréal,23,18,726,2,0,5,65
Matai Akinmboni,USA,DF,D.C. United,15,2,120,0,0,0.655,27
Matheus Rossetto,BRA,MF,Atlanta Utd,25,24,1602,0,1,5.5,40
Mathieu Choiniere,CAN,DF,CF Montréal,22,26,1379,2,0,1.25,65
Matko Miljevic,USA,MF,CF Montréal,20,22,694,1,1,5.45455,65
Matt Bersano,USA,GK,San Jose,29,2,135,0,0,1.06375,35
Matt Hedges,USA,DF,FC Dallas,31,28,2226,1,0,9,53
Matt Miazga,USA,DF,FC Cincinnati,26,10,828,2,0,14.64,49
Matt Polster,USA,MF,New England,28,28,2116,2,0,3.25,42
Matthew Real,USA,MF,Philadelphia,22,8,173,1,0,1.05,67
Matías Pellegrini,ARG,DF,NYCFC,21,4,63,0,0,8.75,55
Matías Vera,ARG,MF,Houston Dynamo,26,28,2184,0,0,5.5,36
Mauricio Pereyra,URU,MF,Orlando City,31,32,2531,1,8,11,48
Mauricio Pineda,USA,MF,Chicago Fire,24,27,1998,1,0,2.25,39
Max,BRA,MF,Colorado Rapids,20,28,904,0,1,2.12,43
Maxime Chanot,LUX,DF,NYCFC,32,22,1441,1,1,7,55
Maxime Crépeau,CAN,GK,Los Angeles FC,27,33,2970,0,0,2.75,67
Maximiliano Moralez,ARG,MF,NYCFC,34,29,2100,2,6,6.7,55
Maximiliano Urruti,ARG,FW,Austin,30,32,2184,9,0,6.25,56
McKinze Gaines,USA,MF,Charlotte,23,24,1073,1,4,0.84,42
Memo Rodriguez,USA,MF,Houston Dynamo,26,30,1501,0,3,2.85,36
Mender García,COL,FW,Minnesota Utd,23,9,532,1,0,3,48
Michael Baldisimo,CAN,MF,Vancouver,21,13,455,0,0,1.07415,43
Michael Barrios,COL,FW,Colorado Rapids,30,34,1906,2,6,6.5,43
Michael Boxall,NZL,DF,Minnesota Utd,33,31,2790,0,0,6.0221,48
Michael Bradley,USA,MF,Toronto FC,34,34,3049,3,3,15,34
Michael Halliday,USA,DF,Orlando City,19,6,50,0,0,0.89716,48
Michael Nelson,USA,GK,Houston Dynamo,26,2,155,0,0,1.25,36
Miguel Navarro,VEN,DF,Chicago Fire,22,25,2172,0,1,2.00004,39
Miguel Trauco,PER,DF,San Jose,29,3,137,0,2,1,35
Mikael Uhre,DEN,FW,Philadelphia,27,27,1617,13,3,14,67
Mikey Ambrose,USA,DF,Atlanta Utd,28,2,46,0,0,0.85444,40
Miles Robinson,USA,DF,Atlanta Utd,24,9,659,0,0,7,40
Miloš Degenek,AUS,DF,Columbus Crew,27,28,2236,0,0,7.15,46
Mohamed Farsi,CAN,DF,Columbus Crew,22,7,85,0,1,0.655,46
Moussa Djitte,SEN,FW,Austin,22,17,462,4,2,5.5,56
Nabilai Kibunguchy,USA,MF,Minnesota Utd,24,2,180,0,0,0.66724000000000006,48
Nacho Gil,ESP,FW,New England,26,4,201,0,0,1,42
Nathan Byrne, ENG,DF,Charlotte,29,5,290,0,0,5.6,42
Nathan Cardoso,BRA,DF,San Jose,26,26,2271,3,0,6.5,35
Nathan Fogaça,BRA,FW,Portland Timbers,22,11,409,2,0,0.655,46
Nathan Harriel,USA,DF,Philadelphia,20,25,1768,1,1,0.9,67
Nelson Quiñones,COL,FW,Houston Dynamo,19,8,122,0,0,1.50996,36
Nicholas Gioacchini,USA,FW,Orlando City,21,6,138,0,0,3.50004,48
Nick Besler,USA,MF,Real Salt Lake,28,11,251,0,0,2.1,47
Nick DePuy,USA,DF,LA Galaxy,27,18,1292,0,0,2.31,50
Nick Hagglund,USA,DF,FC Cincinnati,29,32,2715,1,1,0.84,49
Nick Lima,USA,DF,Austin,27,34,2344,0,4,3.5,56
Nick Markanich,USA,FW,FC Cincinnati,22,9,110,0,0,0.655,49
Nick Marsman,NED,GK,Inter Miami,31,7,630,0,0,4.74996,48
Nicolas Isimat-Mirin,FRA,DF,Sporting KC,30,28,2276,0,0,9.5,40
Nicolás Acevedo,URU,MF,NYCFC,22,31,2264,0,0,2,55
Nicolás Lodeiro,URU,MF,Seattle,32,28,2316,7,7,26.4,41
Nigel Robertha,NED,FW,D.C. United,23,17,715,1,3,5.5,27
Niko Hansen,DEN,FW,Minnesota Utd,27,5,100,0,1,2.004,48
Niko Tsakiris,USA,MF,San Jose,16,10,370,0,0,0.655,35
Nkosi Tafari,USA,DF,FC Dallas,24,27,1326,0,0,1.9795,53
Noah Allen,USA,DF,Inter Miami,17,8,324,0,0,0.655,48
Noble Okello,CAN,MF,Toronto FC,21,8,350,0,0,1.15,34
Noel Buck,USA,MF,New England,16,7,292,1,0,0.655,42
Nouhou Tolo,CMR,DF,Seattle,24,30,2502,1,2,3,41
Nuno Santos,POR,MF,Charlotte,22,4,159,1,0,5,42
Obed Vargas,USA,MF,Seattle,16,13,851,0,0,0.655,41
Obinna Nwobodo,NGA,MF,FC Cincinnati,25,24,2064,0,2,9,49
Ola Kamara,NOR,FW,D.C. United,32,30,1491,9,1,15,27
Olivier Mbaizo,CMR,DF,Philadelphia,24,19,1307,0,2,3,67
Omar Gonzalez,USA,DF,New England,33,17,762,0,0,4.25,42
Omir Fernandez,USA,MF,NY Red Bulls,22,27,1441,2,3,1.4,53
Oniel Fisher,JAM,DF,Minnesota Utd,30,11,631,0,0,1.2,48
Oriol Rosell,ESP,MF,Sporting KC,29,18,901,0,1,4.75,40
Oskar Ågren,SWE,DF,San Jose,23,3,249,0,0,0.655,35
Osvaldo Alonso,CUB,MF,Atlanta Utd,36,4,331,0,0,0.84,40
Ousseni Bouda,BFA,FW,San Jose,21,9,118,0,0,0.84,35
Owen Wolff,USA,FW,Austin,17,24,913,0,1,0.655,56
Pablo Bonilla,VEN,DF,Portland Timbers,22,6,252,0,0,1.32,46
Pablo Ruíz,ARG,MF,Real Salt Lake,23,29,2413,2,4,4.5,47
Pablo Sisniega,MEX,GK,Charlotte,26,2,180,0,0,1.8,42
Patryk Klimala,POL,FW,NY Red Bulls,23,28,1638,5,3,10,53
Paul Arriola,USA,FW,FC Dallas,26,32,2562,10,5,11,53
Paul Marie,FRA,DF,San Jose,26,32,2238,1,1,1.45,35
Paxten Aaronson,USA,FW,Philadelphia,18,23,432,1,0,1.075,67
Paxton Pomykal,USA,MF,FC Dallas,22,33,2432,0,2,7,53
Pedro Gallese,PER,GK,Orlando City,31,32,2880,0,0,5.15,48
Pedro Santos,POR,DF,Columbus Crew,33,29,2333,1,2,6.25,46
Pedro Vite,ECU,MF,Vancouver,19,24,1193,2,2,5.56,43
Quentin Westberg,USA,GK,Toronto FC,35,10,900,0,0,3,34
Quinn McNeill,USA,MF,Charlotte,23,11,664,1,1,0.655,42
Quinn Sullivan,USA,FW,Philadelphia,17,17,245,1,0,1,67
Rafael Czichos,GER,DF,Chicago Fire,31,26,2331,3,0,13,39
Rafael Romo,VEN,GK,D.C. United,31,14,1212,0,0,2.5,27
Raheem Edwards,CAN,DF,LA Galaxy,26,30,2275,1,3,2.75,50
Randall Leal,CRC,MF,Nashville,25,28,2128,2,5,8.5,50
Ranko Veselinović,SRB,DF,Vancouver,22,31,2761,1,2,4.05,43
Ravel Morrison,JAM,MF,D.C. United,28,14,967,2,0,8.5,27
Ray Gaddis,USA,DF,FC Cincinnati,32,23,1132,0,0,2.3,49
Raúl Gudiño,MEX,GK,Atlanta Utd,25,6,495,0,0,2,40
Raúl Ruidíaz,PER,FW,Seattle,31,18,1302,9,1,24.72,41
Reed Baker-Whiting,USA,MF,Seattle,16,2,95,0,0,0.655,41
Richie Laryea,CAN,DF,Toronto FC,27,10,862,0,3,11.70402,34
Rida Zouhir,CAN,MF,CF Montréal,18,5,122,0,0,0.66724000000000006,65
Riqui Puig,ESP,MF,LA Galaxy,22,10,826,3,2,16.125,50
Robbie Robinson,USA,FW,Inter Miami,23,8,485,1,1,1.4,48
Robert Taylor,FIN,MF,Inter Miami,27,33,2222,3,2,2.52,48
Robert Voloder,BIH,DF,Sporting KC,20,12,719,1,0,4,40
Robin Jansson,SWE,DF,Orlando City,30,22,1970,1,1,5.25,48
Robin Lod,FIN,FW,Minnesota Utd,28,30,2492,6,2,8.49996,48
Rocco Ríos Novo,ARG,GK,Atlanta Utd,19,16,1395,0,0,1.08,40
